INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I192078512,619,Larceny,LARCENY ALL OTHERS,D14,793,,2019-09-28 16:58:00,2019,9,Saturday,16,Part One,COMMONWEALTH AVE,,,"(0.00000000, 0.00000000)"
I192078511,3410,Towed,TOWED MOTOR VEHICLE,D4,156,,2019-09-28 17:40:00,2019,9,Saturday,17,Part Three,MASSACHUSETTS AVE,42.33828866,-71.07908476,"(42.33828866, -71.07908476)"
I192078510,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,141,,2019-09-28 17:47:00,2019,9,Saturday,17,Part Three,NEWBURY ST,42.34840576,-71.08688339,"(42.34840576, -71.08688339)"
I192078507,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY DAMAGE,C6,223,,2019-09-28 17:31:00,2019,9,Saturday,17,Part Three,E BROADWAY,,,"(0.00000000, 0.00000000)"
I192078506,613,Larceny,LARCENY SHOPLIFTING,C11,450,,2019-09-28 17:34:00,2019,9,Saturday,17,Part One,WASHINGTON ST,42.29057504,-71.07165726,"(42.29057504, -71.07165726)"
I192078505,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,B2,289,,2019-07-27 01:38:00,2019,7,Saturday,1,Part Three,TREMONT ST,42.33402461,-71.09039049,"(42.33402461, -71.09039049)"
I192078504,1874,Drug Violation,DRUGS - OTHER,C6,936,,2019-09-28 17:48:00,2019,9,Saturday,17,Part Two,ORTON-MAROTTA WAY,42.33857289,-71.05575501,"(42.33857289, -71.05575501)"
I192078503,1402,Vandalism,VANDALISM,B2,309,,2019-09-28 15:29:00,2019,9,Saturday,15,Part Two,CATAWBA ST,42.32004542,-71.08408182,"(42.32004542, -71.08408182)"
I192078502,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,119,,2019-09-28 17:05:00,2019,9,Saturday,17,Part Two,TREMONT ST,42.35540738,-71.06312433,"(42.35540738, -71.06312433)"
I192078501,616,Larceny,LARCENY THEFT OF BICYCLE,C6,233,,2019-09-28 17:37:00,2019,9,Saturday,17,Part One,COLUMBIA RD,42.33054986,-71.04060752,"(42.33054986, -71.04060752)"
I192078499,3502,Missing Person Located,MISSING PERSON - LOCATED,D14,751,,2019-09-28 09:30:00,2019,9,Saturday,9,Part Three,LAKE SHORE RD,42.34379826,-71.16560344,"(42.34379826, -71.16560344)"
I192078498,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,E18,546,,2019-09-28 15:47:00,2019,9,Saturday,15,Part Three,MAGEE ST,42.26519721,-71.12686391,"(42.26519721, -71.12686391)"
I192078496,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,D14,792,,2019-09-28 16:51:00,2019,9,Saturday,16,Part Two,KELTON ST,42.34731413,-71.13770456,"(42.34731413, -71.13770456)"
I192078496,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,D14,792,,2019-09-28 16:51:00,2019,9,Saturday,16,Part Two,KELTON ST,42.34731413,-71.13770456,"(42.34731413, -71.13770456)"
I192078495,2629,Harassment,HARASSMENT,C6,189,,2019-09-28 17:23:00,2019,9,Saturday,17,Part Two,DORCHESTER AVE,42.3237509,-71.05683105,"(42.32375090, -71.05683105)"
